file_id,source_id,onset_ms,sampling_rate,snr_db,rms_db,peak_amplitude,is_clipped
XC208162_25293,208162,25293,16000,10.81,-37.33,0.1602,False
XC208162_29577,208162,29577,16000,11.51,-37.71,0.1357,False
XC208162_34312,208162,34312,16000,14.59,-35.49,0.2267,False
XC208162_38239,208162,38239,16000,15.07,-33.48,0.2918,False
XC208162_4718,208162,4718,16000,11.26,-37.46,0.1173,False
XC208162_735,208162,735,16000,13.97,-35.94,0.1567,False
XC294325_12179,294325,12179,16000,19.77,-44.78,0.0475,False
XC294325_1617,294325,1617,16000,22.68,-38.68,0.0839,False
XC294325_26855,294325,26855,16000,14.51,-47.84,0.0447,False
XC294325_47052,294325,47052,16000,28.07,-38.62,0.1077,False
XC294605_1140,294605,1140,16000,17.80,-39.44,0.1339,False
XC294605_14856,294605,14856,16000,18.27,-41.39,0.0546,False
XC294605_15566,294605,15566,16000,9.88,-41.15,0.0546,False
XC294605_434,294605,434,16000,17.36,-39.67,0.1464,False
XC294605_8440,294605,8440,16000,11.21,-36.13,0.1071,False
XC295122_10571,295122,10571,16000,20.32,-25.29,0.3104,False
XC295122_23824,295122,23824,16000,21.10,-25.94,0.3671,False
XC295122_256,295122,256,16000,14.73,-33.83,0.1510,False
XC295122_34824,295122,34824,16000,20.92,-25.39,0.4674,False
XC295122_49094,295122,49094,16000,21.66,-27.80,0.3266,False
XC295122_64120,295122,64120,16000,8.60,-23.39,0.3066,False
XC295122_82712,295122,82712,16000,17.52,-22.75,0.4185,False
XC309110_3020,309110,3020,16000,14.39,-36.75,0.1104,False
XC309110_7170,309110,7170,16000,10.77,-37.08,0.1093,False
XC309110_8,309110,8,16000,14.41,-34.91,0.5781,False
XC311114_12562,311114,12562,16000,11.24,-39.92,0.0936,False
XC311114_17106,311114,17106,16000,15.41,-35.48,0.1891,False
XC311114_2133,311114,2133,16000,17.22,-33.34,0.2114,False
XC311114_8038,311114,8038,16000,11.29,-38.22,0.1335,False
XC311115_11883,311115,11883,16000,16.30,-29.99,0.2008,False
XC311115_1447,311115,1447,16000,22.32,-27.63,0.2726,False
XC311115_20733,311115,20733,16000,19.60,-36.59,0.1003,False
XC311116_11531,311116,11531,16000,17.86,-35.06,0.1378,False
XC311116_1447,311116,1447,16000,13.94,-35.76,0.1442,False
XC311116_17025,311116,17025,16000,15.30,-33.58,0.1577,False
XC311116_40720,311116,40720,16000,10.06,-38.38,0.1049,False
XC331552_0,331552,0,16000,21.63,-45.07,0.0713,False
XC331552_12275,331552,12275,16000,8.97,-55.32,0.0192,False
XC331552_19974,331552,19974,16000,30.36,-33.17,0.2062,False
XC331552_29534,331552,29534,16000,28.72,-33.01,0.2130,False
XC331552_6729,331552,6729,16000,31.43,-31.95,0.1805,False
XC331569_1640,331569,1640,16000,17.91,-38.11,0.1934,False
XC331569_4660,331569,4660,16000,21.41,-34.04,0.3443,False
XC331569_7685,331569,7685,16000,15.45,-40.11,0.1106,False
XC336261_0,336261,0,16000,17.97,-37.86,0.1692,False
XC336261_15421,336261,15421,16000,18.66,-33.01,0.1778,False
XC364334_0,364334,0,16000,7.24,-19.52,0.6105,False
XC364334_3000,364334,3000,16000,7.86,-21.07,0.5597,False
XC364334_30664,364334,30664,16000,6.57,-23.06,0.4114,False
XC364334_62192,364334,62192,16000,8.88,-24.25,0.4295,False
XC364334_65191,364334,65191,16000,12.50,-22.62,0.5287,False
XC364334_68193,364334,68193,16000,11.90,-21.91,0.5462,False
XC364334_71197,364334,71197,16000,6.97,-26.23,0.3819,False
XC364334_74202,364334,74202,16000,7.44,-26.07,0.2982,False
XC364334_80276,364334,80276,16000,10.68,-21.49,0.5024,False
XC368954_1038,368954,1038,16000,10.79,-22.22,0.5043,False
XC368954_11405,368954,11405,16000,24.20,-27.38,0.5811,False
XC368954_7220,368954,7220,16000,18.91,-15.92,0.9735,False
XC369018_19741,369018,19741,16000,18.47,-34.15,0.2147,False
XC369018_23033,369018,23033,16000,16.24,-37.47,0.1646,False
XC369018_30350,369018,30350,16000,18.18,-32.26,0.1949,False
XC369018_7354,369018,7354,16000,13.00,-33.61,0.2209,False
XC369018_970,369018,970,16000,21.79,-24.91,0.5319,False
XC379536_23421,379536,23421,16000,15.10,-47.72,0.0449,False
XC379536_26907,379536,26907,16000,26.65,-35.04,0.2001,False
XC379536_33305,379536,33305,16000,12.39,-35.79,0.1986,False
XC379536_5340,379536,5340,16000,18.50,-30.95,0.2061,False
XC379536_9680,379536,9680,16000,20.47,-33.62,0.2423,False
XC395089_18226,395089,18226,16000,5.32,-41.71,0.0503,False
XC395089_2203,395089,2203,16000,4.86,-42.85,0.0550,False
XC395089_34046,395089,34046,16000,4.55,-42.06,0.0594,False
XC395089_41887,395089,41887,16000,7.79,-39.07,0.0667,False
XC395089_48784,395089,48784,16000,6.94,-39.90,0.0651,False
