source_id,species_common,species_scientific,quality_grade,cc_license,type_label,latitude,longitude,country
144356,Large-tailed Nightjar,Caprimulgus macrurus,B,CC-BY-NC-ND-3.0,song,1.4184,103.9385,Singapore
149307,Common Tailorbird,Orthotomus sutorius,A,CC-BY-NC-ND-4.0,call,21.5834,77.3334,India
149687,Coppersmith Barbet,Psilopogon haemacephalus,C,CC-BY-NC-ND-4.0,song,21.168,70.601,India
149689,Common Tailorbird,Orthotomus sutorius,A,CC-BY-NC-ND-4.0,call,21.168,70.601,India
150003,Yellow-vented Bulbul,Pycnonotus goiavier,B,CC-BY-NC-SA-3.0,call,-8.4923,115.2652,Indonesia
150420,Olive-backed Sunbird,Cinnyris jugularis,B,CC-BY-NC-SA-3.0,song,-8.5275,115.2632,Indonesia
150431,Common Iora,Aegithina tiphia,B,CC-BY-NC-SA-3.0,song,-8.4923,115.2652,Indonesia
150685,Yellow-vented Bulbul,Pycnonotus goiavier,B,CC-BY-NC-SA-3.0,call,6.3717,116.4459,Malaysia
150690,Common Iora,Aegithina tiphia,B,CC-BY-NC-SA-3.0,call,6.3717,116.4459,Malaysia
150717,White-breasted Waterhen,Amaurornis phoenicurus,B,CC-BY-NC-SA-3.0,call,5.8758,116.0957,Malaysia
150798,Pied Fantail,Rhipidura javanica,B,CC-BY-NC-SA-3.0,song,5.8664,117.9506,Malaysia
150891,Common Iora,Aegithina tiphia,B,CC-BY-NC-SA-3.0,call,5.482,118.2376,Malaysia
150955,Pied Fantail,Rhipidura javanica,B,CC-BY-NC-SA-3.0,call,5.5047,118.2638,Malaysia
151134,Collared Kingfisher,Todiramphus chloris,B,CC-BY-NC-SA-3.0,call,6.7162,116.3445,Malaysia
151135,Collared Kingfisher,Todiramphus chloris,B,CC-BY-NC-SA-3.0,call,6.7162,116.3445,Malaysia
151136,Collared Kingfisher,Todiramphus chloris,B,CC-BY-NC-SA-3.0,call,6.7162,116.3445,Malaysia
151209,Large-tailed Nightjar,Caprimulgus macrurus,B,CC-BY-NC-SA-3.0,call,4.6509,101.0566,Malaysia
151210,Large-tailed Nightjar,Caprimulgus macrurus,B,CC-BY-NC-SA-3.0,call,4.6509,101.0566,Malaysia
151212,Pied Fantail,Rhipidura javanica,C,CC-BY-NC-SA-3.0,call,4.6509,101.0566,Malaysia
151304,Common Iora,Aegithina tiphia,B,CC-BY-NC-SA-3.0,call,4.4724,101.1674,Malaysia
151312,Common Iora,Aegithina tiphia,B,CC-BY-NC-SA-3.0,call,5.4521,100.4519,Malaysia
151342,White-breasted Waterhen,Amaurornis phoenicurus,B,CC-BY-NC-SA-3.0,call,4.9327,100.4593,Malaysia
151628,Yellow-vented Bulbul,Pycnonotus goiavier,B,CC-BY-NC-SA-3.0,song,-8.7312,115.2357,Indonesia
151642,Collared Kingfisher,Todiramphus chloris,B,CC-BY-NC-SA-3.0,call,-8.7868,115.2218,Indonesia
151815,Collared Kingfisher,Todiramphus chloris,B,CC-BY-NC-SA-3.0,call,1.5675,125.1595,Indonesia
152005,Collared Kingfisher,Todiramphus chloris,B,CC-BY-NC-SA-3.0,call,0.5126,123.9109,Indonesia
152645,Pied Fantail,Rhipidura javanica,B,CC-BY-NC-SA-3.0,call,-8.7312,115.2357,Indonesia
152646,Pied Fantail,Rhipidura javanica,B,CC-BY-NC-SA-3.0,call,-8.7312,115.2357,Indonesia
152651,Pied Fantail,Rhipidura javanica,B,CC-BY-NC-SA-3.0,call,-8.7312,115.2357,Indonesia
152652,White-breasted Waterhen,Amaurornis phoenicurus,B,CC-BY-NC-SA-3.0,call,-8.7312,115.2357,Indonesia
152653,Collared Kingfisher,Todiramphus chloris,A,CC-BY-NC-SA-3.0,call,-8.7312,115.2357,Indonesia
153788,Common Iora,Aegithina tiphia,B,CC-BY-NC-SA-3.0,song,-8.7868,115.2218,Indonesia
154583,Coppersmith Barbet,Psilopogon haemacephalus,B,CC-BY-NC-ND-3.0,song,12.7989,99.4539,Thailand
155937,Large-tailed Nightjar,Caprimulgus macrurus,B,CC-BY-NC-ND-3.0,song,-4.1337,138.7087,Indonesia
156228,White-breasted Waterhen,Amaurornis phoenicurus,B,CC-BY-NC-ND-4.0,song,24.3791,124.172,Japan
156229,White-breasted Waterhen,Amaurornis phoenicurus,B,CC-BY-NC-ND-4.0,song,24.3791,124.172,Japan
157442,Pied Fantail,Rhipidura javanica,B,CC-BY-NC-ND-4.0,call,13.2549,103.9458,Cambodia
157443,Pied Fantail,Rhipidura javanica,B,CC-BY-NC-ND-4.0,call,13.2549,103.9458,Cambodia
158456,Large-tailed Nightjar,Caprimulgus macrurus,B,CC-BY-NC-SA-3.0,song,4.39,102.4,Malaysia
161163,Coppersmith Barbet,Psilopogon haemacephalus,B,CC-BY-NC-ND-3.0,"call, song",15.5886,73.8765,India
